,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
knn,K Neighbors Classifier,0.9199,0.0,0.1232,0.6767,0.2075,0.1858,0.2645,0.743
lightgbm,Light Gradient Boosting Machine,0.9231,0.0,0.1171,0.8532,0.2057,0.189,0.2989,0.648
catboost,CatBoost Classifier,0.9227,0.0,0.1174,0.8245,0.2053,0.1881,0.2931,10.633
rf,Random Forest Classifier,0.921,0.0,0.1194,0.7149,0.2045,0.1847,0.2709,1.811
ada,Ada Boost Classifier,0.9227,0.0,0.1163,0.8393,0.2038,0.1869,0.2943,0.772
xgboost,Extreme Gradient Boosting,0.9224,0.0,0.1167,0.8062,0.2037,0.1862,0.2883,0.582
gbc,Gradient Boosting Classifier,0.923,0.0,0.1144,0.8639,0.2019,0.1857,0.2977,1.014
et,Extra Trees Classifier,0.921,0.0,0.1113,0.7411,0.1935,0.1752,0.2675,1.04
dt,Decision Tree Classifier,0.9207,0.0,0.1106,0.7237,0.1917,0.1731,0.2625,0.603
lr,Logistic Regression,0.9148,0.0,0.0,0.0,0.0,0.0,0.0,1.965
nb,Naive Bayes,0.9148,0.0,0.0,0.0,0.0,0.0,0.0,1.004
svm,SVM - Linear Kernel,0.9148,0.0,0.0,0.0,0.0,0.0,0.0,0.856
ridge,Ridge Classifier,0.9148,0.0,0.0,0.0,0.0,0.0,0.0,0.749
qda,Quadratic Discriminant Analysis,0.9148,0.0,0.0,0.0,0.0,0.0,0.0,0.488
lda,Linear Discriminant Analysis,0.9148,0.0,0.0,0.0,0.0,0.0,0.0,0.544
dummy,Dummy Classifier,0.9148,0.0,0.0,0.0,0.0,0.0,0.0,1.269
